               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031128,           0.0086079,           0.0032251,             0.64161,             0.57673,             0.57526,             0.32162,            0.041657,           0.0077478,            0.014796,            0.006535,            0.006535,            0.006535
                  37,            0.031189,           0.0085639,           0.0031981,             0.62667,              0.6183,             0.59782,             0.32816,            0.041425,             0.00745,            0.015068,            0.006436,            0.006436,            0.006436
                  38,            0.030636,           0.0084975,           0.0031574,             0.66585,             0.54039,             0.57659,             0.31667,            0.042366,           0.0076431,             0.01518,            0.006337,            0.006337,            0.006337
                  39,            0.030678,           0.0084171,           0.0031987,             0.59688,             0.60169,             0.57819,             0.32181,            0.041773,           0.0078591,            0.016083,            0.006238,            0.006238,            0.006238
                  40,            0.030247,           0.0084629,           0.0033412,             0.64618,             0.57198,             0.58094,             0.31854,            0.042008,           0.0079768,            0.015732,            0.006139,            0.006139,            0.006139
                  41,            0.030231,           0.0083751,           0.0031835,             0.67246,             0.57515,             0.59857,             0.33376,            0.040939,           0.0078703,            0.014523,             0.00604,             0.00604,             0.00604
                  42,            0.030241,           0.0084475,           0.0031708,             0.66782,             0.56423,             0.59966,             0.33487,            0.041155,           0.0079447,            0.015193,            0.005941,            0.005941,            0.005941
                  43,            0.030259,           0.0084489,           0.0031422,             0.65712,              0.5681,             0.59667,             0.33507,            0.040756,            0.007931,            0.015696,            0.005842,            0.005842,            0.005842
                  44,            0.029967,           0.0083398,           0.0031927,             0.62186,             0.59557,             0.57737,             0.32171,            0.040763,           0.0080087,            0.015955,            0.005743,            0.005743,            0.005743
                  45,            0.029776,           0.0083579,           0.0032525,             0.59963,             0.61888,             0.57885,             0.32602,            0.040953,           0.0080078,            0.015976,            0.005644,            0.005644,            0.005644
                  46,            0.029209,           0.0082683,           0.0030551,             0.59524,             0.64375,             0.59129,             0.33485,            0.040712,            0.007821,            0.015012,            0.005545,            0.005545,            0.005545
                  47,            0.029421,           0.0083053,           0.0030061,             0.60519,             0.63016,             0.59149,             0.33604,            0.040747,           0.0078043,            0.015422,            0.005446,            0.005446,            0.005446
                  48,             0.02924,             0.00824,           0.0030095,             0.60667,             0.63551,             0.58802,             0.33756,            0.040513,           0.0078135,            0.015363,            0.005347,            0.005347,            0.005347
                  49,            0.029136,           0.0081767,           0.0029364,             0.67453,             0.56689,             0.58946,             0.33845,            0.040281,           0.0078206,            0.015249,            0.005248,            0.005248,            0.005248
                  50,             0.02902,           0.0081984,           0.0028978,              0.6637,             0.58311,             0.59277,             0.34351,            0.040037,           0.0078142,            0.014802,            0.005149,            0.005149,            0.005149
                  51,            0.028835,           0.0081337,           0.0028671,             0.66281,             0.59963,             0.59586,             0.34484,            0.039742,           0.0077489,            0.014726,             0.00505,             0.00505,             0.00505
                  52,            0.028777,           0.0080898,           0.0031077,             0.63102,             0.61886,             0.59636,             0.34699,            0.039789,           0.0077127,            0.014818,            0.004951,            0.004951,            0.004951
                  53,             0.02855,           0.0081478,           0.0028202,              0.6088,             0.62585,             0.59866,             0.34987,            0.039717,           0.0077395,            0.014832,            0.004852,            0.004852,            0.004852
                  54,            0.028329,           0.0081363,           0.0028541,             0.68242,             0.58236,             0.60308,             0.35062,            0.039595,           0.0076877,            0.014722,            0.004753,            0.004753,            0.004753
                  55,            0.028118,           0.0080516,           0.0026913,             0.68978,             0.58258,             0.60529,             0.35432,             0.03934,            0.007674,            0.015085,            0.004654,            0.004654,            0.004654
                  56,               0.028,           0.0080151,           0.0026052,             0.68708,             0.58622,             0.60355,             0.35595,            0.039147,           0.0077374,            0.015453,            0.004555,            0.004555,            0.004555
                  57,             0.02777,           0.0079204,           0.0025502,              0.6179,              0.6454,             0.60267,             0.35807,            0.039071,           0.0077853,            0.015656,            0.004456,            0.004456,            0.004456
                  58,             0.02793,           0.0079706,           0.0026779,             0.62536,             0.64907,             0.60578,             0.36063,            0.039093,           0.0077404,            0.015557,            0.004357,            0.004357,            0.004357
                  59,            0.027773,           0.0080265,            0.002744,             0.62292,             0.65441,             0.61027,             0.36371,            0.039105,           0.0077009,            0.015337,            0.004258,            0.004258,            0.004258
                  60,            0.027439,           0.0077888,           0.0025866,             0.62938,             0.65317,             0.61435,             0.36786,            0.039075,           0.0076627,            0.015172,            0.004159,            0.004159,            0.004159
                  61,            0.027285,           0.0079078,           0.0024489,             0.62323,             0.65992,             0.62087,             0.37213,            0.038923,           0.0076578,            0.015142,             0.00406,             0.00406,             0.00406
                  62,             0.02709,           0.0078336,            0.002433,             0.63485,             0.65489,             0.61964,             0.37132,            0.038849,           0.0076444,            0.014926,            0.003961,            0.003961,            0.003961
                  63,            0.027228,           0.0078451,           0.0023807,             0.63874,             0.64931,             0.61819,             0.37067,            0.038771,           0.0076607,            0.014899,            0.003862,            0.003862,            0.003862
                  64,            0.026954,           0.0077158,           0.0023263,             0.64613,              0.6489,             0.62309,             0.37361,            0.038788,           0.0076671,            0.014799,            0.003763,            0.003763,            0.003763
                  65,             0.02676,           0.0077661,           0.0024452,             0.65531,             0.64187,             0.62075,              0.3725,            0.038778,           0.0076861,             0.01474,            0.003664,            0.003664,            0.003664
                  66,            0.026532,           0.0076712,           0.0024537,             0.65546,             0.64489,             0.62083,             0.37249,            0.038708,           0.0076994,            0.014774,            0.003565,            0.003565,            0.003565
                  67,            0.026535,           0.0076683,           0.0022871,             0.65003,              0.6474,             0.62258,             0.37292,             0.03863,           0.0077069,            0.014874,            0.003466,            0.003466,            0.003466
                  68,            0.026523,           0.0076562,           0.0023204,             0.63579,              0.6482,             0.61999,             0.37248,            0.038604,           0.0077212,            0.014856,            0.003367,            0.003367,            0.003367
                  69,            0.026201,           0.0076596,           0.0022687,             0.63544,             0.65004,             0.61885,             0.37134,            0.038547,           0.0077211,            0.014865,            0.003268,            0.003268,            0.003268
                  70,            0.025946,           0.0075289,           0.0023172,             0.62978,             0.65696,             0.61849,             0.37092,            0.038501,           0.0077153,            0.014847,            0.003169,            0.003169,            0.003169
                  71,            0.025907,           0.0075966,           0.0021258,             0.62081,             0.65737,             0.61774,              0.3715,            0.038506,           0.0077054,            0.014817,             0.00307,             0.00307,             0.00307
                  72,             0.02591,           0.0075619,           0.0022047,             0.67688,             0.60969,             0.61855,             0.37211,            0.038502,           0.0076953,            0.014737,            0.002971,            0.002971,            0.002971
                  73,            0.025645,           0.0074687,           0.0021428,             0.67539,             0.61169,             0.61704,             0.37143,            0.038494,           0.0077067,            0.014758,            0.002872,            0.002872,            0.002872
                  74,            0.025491,           0.0074446,           0.0020271,             0.67485,             0.61223,             0.61847,             0.37282,             0.03848,           0.0076999,            0.014745,            0.002773,            0.002773,            0.002773
                  75,            0.025301,           0.0074292,           0.0020439,             0.67715,             0.61363,              0.6187,             0.37271,            0.038437,            0.007694,            0.014716,            0.002674,            0.002674,            0.002674
                  76,             0.02515,           0.0073848,           0.0020699,             0.68159,             0.61557,             0.61967,             0.37338,            0.038398,           0.0076885,            0.014622,            0.002575,            0.002575,            0.002575
                  77,            0.025066,           0.0073759,           0.0020972,              0.6698,             0.62642,             0.62127,             0.37498,            0.038371,           0.0076885,            0.014609,            0.002476,            0.002476,            0.002476
                  78,            0.024858,           0.0073126,           0.0019443,             0.68261,             0.61551,             0.62112,             0.37558,            0.038342,           0.0076827,            0.014618,            0.002377,            0.002377,            0.002377
                  79,            0.024633,            0.007336,            0.001933,             0.68531,             0.61741,             0.62177,             0.37655,            0.038306,           0.0076768,            0.014617,            0.002278,            0.002278,            0.002278
                  80,            0.024513,           0.0073737,           0.0019426,             0.68491,               0.617,             0.62298,             0.37824,            0.038276,           0.0076788,            0.014606,            0.002179,            0.002179,            0.002179
                  81,            0.024459,           0.0072363,           0.0020808,             0.68407,             0.61675,              0.6237,             0.37922,            0.038244,           0.0076789,            0.014601,             0.00208,             0.00208,             0.00208
                  82,            0.024214,           0.0072953,           0.0019204,             0.68244,              0.6172,             0.62461,             0.37969,            0.038206,           0.0076801,             0.01464,            0.001981,            0.001981,            0.001981
                  83,            0.024111,            0.007225,           0.0018281,             0.68557,             0.61945,             0.62681,             0.38125,            0.038166,           0.0076897,            0.014685,            0.001882,            0.001882,            0.001882
                  84,            0.023861,           0.0072635,           0.0018794,              0.6812,             0.61795,             0.62664,             0.38196,            0.038139,           0.0076951,            0.014713,            0.001783,            0.001783,            0.001783
                  85,             0.02357,            0.007028,           0.0017641,              0.6596,              0.6354,             0.62746,             0.38301,            0.038116,           0.0076991,            0.014737,            0.001684,            0.001684,            0.001684
                  86,            0.023713,            0.007097,           0.0017266,             0.68249,             0.61769,             0.62782,             0.38349,            0.038086,           0.0076952,            0.014751,            0.001585,            0.001585,            0.001585
                  87,            0.023392,            0.006974,           0.0018632,             0.68286,             0.61776,             0.62772,             0.38445,            0.038052,           0.0076918,            0.014794,            0.001486,            0.001486,            0.001486
                  88,            0.023356,           0.0069852,           0.0017393,             0.68608,             0.61746,             0.62818,             0.38475,            0.038012,           0.0076943,            0.014836,            0.001387,            0.001387,            0.001387
                  89,            0.023072,            0.006994,           0.0016369,             0.69228,              0.6194,              0.6298,             0.38503,            0.037959,           0.0076939,            0.014879,            0.001288,            0.001288,            0.001288
                  90,            0.022959,           0.0069524,           0.0016696,             0.69246,             0.61948,             0.63022,             0.38546,            0.037915,           0.0076938,            0.014913,            0.001189,            0.001189,            0.001189
                  91,            0.022745,           0.0069275,           0.0016544,             0.69787,              0.6194,             0.63105,             0.38726,            0.037878,           0.0076943,            0.014929,             0.00109,             0.00109,             0.00109
                  92,            0.022535,           0.0069013,           0.0016065,             0.63812,             0.67194,             0.63145,             0.38769,            0.037842,           0.0076961,            0.014965,            0.000991,            0.000991,            0.000991
                  93,            0.022415,           0.0069087,           0.0016157,             0.63885,             0.67211,             0.63192,             0.38808,            0.037814,           0.0076965,            0.014994,            0.000892,            0.000892,            0.000892
                  94,            0.022264,           0.0068879,            0.001568,             0.64017,             0.67183,             0.63209,             0.38834,             0.03778,           0.0076953,               0.015,            0.000793,            0.000793,            0.000793
                  95,            0.022158,           0.0068599,           0.0015478,             0.70031,              0.6194,             0.63225,             0.39002,            0.037745,           0.0076952,            0.015022,            0.000694,            0.000694,            0.000694
                  96,            0.022025,           0.0068118,           0.0015406,             0.70481,              0.6194,             0.63237,             0.39155,            0.037712,           0.0076971,            0.015042,            0.000595,            0.000595,            0.000595
                  97,            0.021698,           0.0066455,           0.0014594,             0.70663,              0.6214,             0.63248,             0.39149,            0.037688,           0.0076994,            0.015057,            0.000496,            0.000496,            0.000496
                  98,            0.021602,           0.0067671,           0.0015773,             0.70778,              0.6214,             0.63232,             0.39272,            0.037667,           0.0077017,            0.015074,            0.000397,            0.000397,            0.000397
                  99,             0.02141,           0.0067526,           0.0013642,             0.70908,              0.6214,             0.63199,             0.39384,            0.037644,           0.0077042,            0.015094,            0.000298,            0.000298,            0.000298
